,pred,counts,frac
0,A107C,69,0.22115384615384615
1,A124C,84,0.2692307692307692
2,A78C,76,0.24358974358974358
3,S42C,83,0.266025641025641
4,A107C,57,0.18269230769230768
5,A124C,80,0.2564102564102564
6,A78C,83,0.266025641025641
7,S42C,92,0.2948717948717949
8,A107C,53,0.16987179487179488
9,A124C,89,0.28525641025641024
10,A78C,90,0.28846153846153844
11,S42C,80,0.2564102564102564
12,A107C,56,0.1794871794871795
13,A124C,84,0.2692307692307692
14,A78C,82,0.26282051282051283
15,S42C,90,0.28846153846153844
16,A107C,66,0.21153846153846154
17,A124C,102,0.3269230769230769
18,A78C,87,0.27884615384615385
19,S42C,57,0.18269230769230768
20,A107C,75,0.2403846153846154
21,A124C,68,0.21794871794871795
22,A78C,79,0.2532051282051282
23,S42C,90,0.28846153846153844
24,A107C,61,0.1955128205128205
25,A124C,87,0.27884615384615385
26,A78C,84,0.2692307692307692
27,S42C,80,0.2564102564102564
28,A107C,58,0.1858974358974359
29,A124C,98,0.3141025641025641
30,A78C,73,0.23397435897435898
31,S42C,83,0.266025641025641
32,A107C,54,0.17307692307692307
33,A124C,77,0.2467948717948718
34,A78C,88,0.28205128205128205
35,S42C,93,0.2980769230769231
36,A107C,53,0.16987179487179488
37,A124C,83,0.266025641025641
38,A78C,97,0.3108974358974359
39,S42C,79,0.2532051282051282
40,A107C,63,0.20192307692307693
41,A124C,98,0.3141025641025641
42,A78C,80,0.2564102564102564
43,S42C,71,0.22756410256410256
44,A107C,62,0.1987179487179487
45,A124C,79,0.2532051282051282
46,A78C,88,0.28205128205128205
47,S42C,83,0.266025641025641
48,A107C,66,0.21153846153846154
49,A124C,81,0.25961538461538464
50,A78C,92,0.2948717948717949
51,S42C,73,0.23397435897435898
52,A107C,46,0.14743589743589744
53,A124C,94,0.30128205128205127
54,A78C,95,0.30448717948717946
55,S42C,77,0.2467948717948718
56,A107C,44,0.14102564102564102
57,A124C,94,0.30128205128205127
58,A78C,90,0.28846153846153844
59,S42C,84,0.2692307692307692
60,A107C,67,0.21474358974358973
61,A124C,82,0.26282051282051283
62,A78C,77,0.2467948717948718
63,S42C,86,0.27564102564102566
64,A107C,62,0.1987179487179487
65,A124C,77,0.2467948717948718
66,A78C,90,0.28846153846153844
67,S42C,83,0.266025641025641
68,A107C,63,0.20192307692307693
69,A124C,92,0.2948717948717949
70,A78C,83,0.266025641025641
71,S42C,74,0.23717948717948717
72,A107C,54,0.17307692307692307
73,A124C,86,0.27564102564102566
74,A78C,90,0.28846153846153844
75,S42C,82,0.26282051282051283
76,A107C,51,0.16346153846153846
77,A124C,80,0.2564102564102564
78,A78C,98,0.3141025641025641
79,S42C,83,0.266025641025641
80,A107C,61,0.1955128205128205
81,A124C,78,0.25
82,A78C,91,0.2916666666666667
83,S42C,82,0.26282051282051283
84,A107C,52,0.16666666666666666
85,A124C,86,0.27564102564102566
86,A78C,88,0.28205128205128205
87,S42C,86,0.27564102564102566
88,A107C,73,0.23397435897435898
89,A124C,81,0.25961538461538464
90,A78C,75,0.2403846153846154
91,S42C,83,0.266025641025641
92,A107C,71,0.22756410256410256
93,A124C,79,0.2532051282051282
94,A78C,85,0.2724358974358974
95,S42C,77,0.2467948717948718
96,A107C,63,0.20192307692307693
97,A124C,86,0.27564102564102566
98,A78C,91,0.2916666666666667
99,S42C,72,0.23076923076923078
100,A107C,62,0.1987179487179487
101,A124C,95,0.30448717948717946
102,A78C,74,0.23717948717948717
103,S42C,81,0.25961538461538464
104,A107C,55,0.1762820512820513
105,A124C,83,0.266025641025641
106,A78C,86,0.27564102564102566
107,S42C,88,0.28205128205128205
108,A107C,66,0.21153846153846154
109,A124C,76,0.24358974358974358
110,A78C,75,0.2403846153846154
111,S42C,95,0.30448717948717946
112,A107C,64,0.20512820512820512
113,A124C,88,0.28205128205128205
114,A78C,79,0.2532051282051282
115,S42C,81,0.25961538461538464
116,A107C,62,0.1987179487179487
117,A124C,85,0.2724358974358974
118,A78C,82,0.26282051282051283
119,S42C,83,0.266025641025641
120,A107C,62,0.1987179487179487
121,A124C,75,0.2403846153846154
122,A78C,109,0.34935897435897434
123,S42C,66,0.21153846153846154
124,A107C,61,0.1955128205128205
125,A124C,94,0.30128205128205127
126,A78C,93,0.2980769230769231
127,S42C,64,0.20512820512820512
128,A107C,55,0.1762820512820513
129,A124C,90,0.28846153846153844
130,A78C,87,0.27884615384615385
131,S42C,80,0.2564102564102564
132,A107C,53,0.16987179487179488
133,A124C,91,0.2916666666666667
134,A78C,83,0.266025641025641
135,S42C,85,0.2724358974358974
136,A107C,68,0.21794871794871795
137,A124C,69,0.22115384615384615
138,A78C,92,0.2948717948717949
139,S42C,83,0.266025641025641
140,A107C,60,0.19230769230769232
141,A124C,102,0.3269230769230769
142,A78C,70,0.22435897435897437
143,S42C,80,0.2564102564102564
144,A107C,51,0.16346153846153846
145,A124C,94,0.30128205128205127
146,A78C,80,0.2564102564102564
147,S42C,87,0.27884615384615385
148,A107C,55,0.1762820512820513
149,A124C,78,0.25
150,A78C,98,0.3141025641025641
151,S42C,81,0.25961538461538464
152,A107C,53,0.16987179487179488
153,A124C,91,0.2916666666666667
154,A78C,84,0.2692307692307692
155,S42C,84,0.2692307692307692
156,A107C,64,0.20512820512820512
157,A124C,93,0.2980769230769231
158,A78C,86,0.27564102564102566
159,S42C,69,0.22115384615384615
160,A107C,66,0.21153846153846154
161,A124C,81,0.25961538461538464
162,A78C,81,0.25961538461538464
163,S42C,84,0.2692307692307692
164,A107C,60,0.19230769230769232
165,A124C,86,0.27564102564102566
166,A78C,80,0.2564102564102564
167,S42C,86,0.27564102564102566
168,A107C,57,0.18269230769230768
169,A124C,80,0.2564102564102564
170,A78C,94,0.30128205128205127
171,S42C,81,0.25961538461538464
172,A107C,74,0.23717948717948717
173,A124C,74,0.23717948717948717
174,A78C,73,0.23397435897435898
175,S42C,91,0.2916666666666667
176,A107C,78,0.25
177,A124C,79,0.2532051282051282
178,A78C,89,0.28525641025641024
179,S42C,66,0.21153846153846154
180,A107C,51,0.16346153846153846
181,A124C,89,0.28525641025641024
182,A78C,90,0.28846153846153844
183,S42C,82,0.26282051282051283
184,A107C,60,0.19230769230769232
185,A124C,91,0.2916666666666667
186,A78C,79,0.2532051282051282
187,S42C,82,0.26282051282051283
188,A107C,55,0.1762820512820513
189,A124C,79,0.2532051282051282
190,A78C,78,0.25
191,S42C,100,0.32051282051282054
192,A107C,59,0.1891025641025641
193,A124C,82,0.26282051282051283
194,A78C,81,0.25961538461538464
195,S42C,90,0.28846153846153844
196,A107C,57,0.18269230769230768
197,A124C,100,0.32051282051282054
198,A78C,73,0.23397435897435898
199,S42C,82,0.26282051282051283
200,A107C,56,0.1794871794871795
201,A124C,100,0.32051282051282054
202,A78C,77,0.2467948717948718
203,S42C,79,0.2532051282051282
204,A107C,63,0.20192307692307693
205,A124C,99,0.3173076923076923
206,A78C,88,0.28205128205128205
207,S42C,62,0.1987179487179487
208,A107C,59,0.1891025641025641
209,A124C,81,0.25961538461538464
210,A78C,88,0.28205128205128205
211,S42C,84,0.2692307692307692
212,A107C,48,0.15384615384615385
213,A124C,92,0.2948717948717949
214,A78C,88,0.28205128205128205
215,S42C,84,0.2692307692307692
216,A107C,62,0.1987179487179487
217,A124C,85,0.2724358974358974
218,A78C,93,0.2980769230769231
219,S42C,72,0.23076923076923078
220,A107C,60,0.19230769230769232
221,A124C,94,0.30128205128205127
222,A78C,82,0.26282051282051283
223,S42C,76,0.24358974358974358
224,A107C,64,0.20512820512820512
225,A124C,86,0.27564102564102566
226,A78C,86,0.27564102564102566
227,S42C,76,0.24358974358974358
228,A107C,54,0.17307692307692307
229,A124C,82,0.26282051282051283
230,A78C,96,0.3076923076923077
231,S42C,80,0.2564102564102564
232,A107C,62,0.1987179487179487
233,A124C,89,0.28525641025641024
234,A78C,75,0.2403846153846154
235,S42C,86,0.27564102564102566
236,A107C,61,0.1955128205128205
237,A124C,76,0.24358974358974358
238,A78C,92,0.2948717948717949
239,S42C,83,0.266025641025641
240,A107C,66,0.21153846153846154
241,A124C,87,0.27884615384615385
242,A78C,71,0.22756410256410256
243,S42C,88,0.28205128205128205
244,A107C,78,0.25
245,A124C,92,0.2948717948717949
246,A78C,65,0.20833333333333334
247,S42C,77,0.2467948717948718
248,A107C,53,0.16987179487179488
249,A124C,107,0.34294871794871795
250,A78C,80,0.2564102564102564
251,S42C,72,0.23076923076923078
252,A107C,57,0.18269230769230768
253,A124C,75,0.2403846153846154
254,A78C,92,0.2948717948717949
255,S42C,88,0.28205128205128205
256,A107C,53,0.16987179487179488
257,A124C,79,0.2532051282051282
258,A78C,88,0.28205128205128205
259,S42C,92,0.2948717948717949
260,A107C,53,0.16987179487179488
261,A124C,73,0.23397435897435898
262,A78C,97,0.3108974358974359
263,S42C,89,0.28525641025641024
264,A107C,64,0.20512820512820512
265,A124C,86,0.27564102564102566
266,A78C,88,0.28205128205128205
267,S42C,74,0.23717948717948717
268,A107C,55,0.1762820512820513
269,A124C,100,0.32051282051282054
270,A78C,82,0.26282051282051283
271,S42C,75,0.2403846153846154
272,A107C,69,0.22115384615384615
273,A124C,86,0.27564102564102566
274,A78C,86,0.27564102564102566
275,S42C,71,0.22756410256410256
276,A107C,57,0.18269230769230768
277,A124C,89,0.28525641025641024
278,A78C,87,0.27884615384615385
279,S42C,79,0.2532051282051282
280,A107C,72,0.23076923076923078
281,A124C,68,0.21794871794871795
282,A78C,83,0.266025641025641
283,S42C,89,0.28525641025641024
284,A107C,66,0.21153846153846154
285,A124C,68,0.21794871794871795
286,A78C,86,0.27564102564102566
287,S42C,92,0.2948717948717949
288,A107C,54,0.17307692307692307
289,A124C,74,0.23717948717948717
290,A78C,95,0.30448717948717946
291,S42C,89,0.28525641025641024
292,A107C,57,0.18269230769230768
293,A124C,80,0.2564102564102564
294,A78C,101,0.32371794871794873
295,S42C,74,0.23717948717948717
296,A107C,59,0.1891025641025641
297,A124C,90,0.28846153846153844
298,A78C,90,0.28846153846153844
299,S42C,73,0.23397435897435898
300,A107C,56,0.1794871794871795
301,A124C,78,0.25
302,A78C,87,0.27884615384615385
303,S42C,91,0.2916666666666667
304,A107C,54,0.17307692307692307
305,A124C,83,0.266025641025641
306,A78C,83,0.266025641025641
307,S42C,92,0.2948717948717949
308,A107C,65,0.20833333333333334
309,A124C,80,0.2564102564102564
310,A78C,90,0.28846153846153844
311,S42C,77,0.2467948717948718
312,A107C,76,0.24358974358974358
313,A124C,73,0.23397435897435898
314,A78C,74,0.23717948717948717
315,S42C,89,0.28525641025641024
316,A107C,70,0.22435897435897437
317,A124C,71,0.22756410256410256
318,A78C,82,0.26282051282051283
319,S42C,89,0.28525641025641024
320,A107C,63,0.20192307692307693
